Area,AvgOccupancy
A1,
A2,
A3 Bow,
B,
Beaver Pond,
Brooks Hollow,
Buckner Bow,
Bull Pond,
C,
CS,
CS 2 Bow,
Constitution Island,
Cragston Lakes,
Cranberry Pond,
D1,
D2,
D3,
E1,
E2,
F,
FA - Popolopen Brook - Downstream from Weyants Bridge,
FA - Popolopen Brook - Upstream from Weyants Bridge,
Firewood Collection - Garrard Rd,
G1,
G2 Bow,
H,
I,
J1 Bow,
J2 Bow,
J3 Bow,
J4 Bow,
J5 Bow,
K Bow,
L,
Lake Frederick,
Lake Georgina,
Lusk Pond,
M,
Mine Lake,
Mine Torne Road,
N,
O,
P,
Popolopen Lake,
Q,
R,
R - Disabled Hunting,
RP Bow,
Round Pond,
S,
Stilwell Lake,
T1,
T2,
U1,
U2,
V/W Bow,
Weyants Pond,
Wilkins Pond,
X,
Y,
Z1,
Z2,
Z4,
Z5,
Z6,
